seed,configuration,l1_nutrient_loop_enabled,l2_water_loop_enabled,l3_energy_loop_enabled,l4_byproduct_loop_enabled,days,agent_count,milk_l,operating_profit,net_kg_co2e,avoided_kg_co2e,kg_co2e_per_l_milk,freshwater_withdrawal_l,recycled_irrigation_l,electricity_generated_kwh,feed_loop_offset_kg,water_loop_offset_l,synthetic_fertilizer_saved_kg,mean_circularity_score,mean_sustainability_score,whey_l,roi_reported,payback_reported,label
1,0000,False,False,False,False,365,12,715962.0906314467,39715.848856449855,134620.1351636118,377433.86823639594,0.18802690383352955,38885574.7,227058.3,0.0,0.0,0.0,11648.0,0.21247437803743877,42.24916068056586,0.0,,,No loops
2,0000,False,False,False,False,365,12,707090.3417471605,37856.01192371082,133532.04247678036,372451.51246815943,0.18884721596795392,38827423.2,223624.8,0.0,0.0,0.0,11648.0,0.21227982306192766,42.19824905276233,0.0,,,No loops
3,0000,False,False,False,False,365,12,714453.1369036164,39303.91643523454,134383.43033622386,376086.6479956795,0.18809271510603348,38872557.3,226289.69999999998,0.0,0.0,0.0,11648.0,0.21242175440097424,42.23375643395595,0.0,,,No loops
4,0000,False,False,False,False,365,12,684534.9646241119,33612.45428457807,131079.05928955253,361769.84389302833,0.191486287864828,38696288.9,215882.09999999998,0.0,0.0,0.0,11648.0,0.21186519237028503,42.08868576878121,0.0,,,No loops
5,0000,False,False,False,False,365,12,700142.6339523674,36437.67799925146,132963.67267979792,369742.48937797185,0.1899094073577639,38786557.1,221211.9,0.0,0.0,0.0,11648.0,0.21217541309279705,42.16898535206508,0.0,,,No loops
6,0000,False,False,False,False,365,12,711562.322096472,38881.30279400246,134042.6155707933,374964.08170579176,0.18837789945912864,38852497.7,225105.3,0.0,0.0,0.0,11648.0,0.21237864721403785,42.22425213066064,0.0,,,No loops
7,0000,False,False,False,False,365,12,716943.4529279727,39948.307386234934,134876.57336783645,378347.9285715679,0.18812721256746975,38894110.7,227562.3,0.0,0.0,0.0,11648.0,0.21250931713423687,42.258449904804834,0.0,,,No loops
8,0000,False,False,False,False,365,12,714807.2635413096,38584.84377110046,134431.7416321412,376697.5679730244,0.1880671175137999,38875438.2,226459.8,0.0,0.0,0.0,11648.0,0.2124452146378492,42.2431018964443,0.0,,,No loops
9,0000,False,False,False,False,365,12,717616.481304619,39811.81187037443,134772.56693064974,377962.5162030728,0.18780584120035074,38893470.5,227524.49999999997,0.0,0.0,0.0,11648.0,0.21249491562538747,42.25497561761662,0.0,,,No loops
10,0000,False,False,False,False,365,12,712128.6760582818,38462.0811332084,134210.21912160775,375474.28529356833,0.18846343874884736,38865408.4,225867.59999999998,0.0,0.0,0.0,11648.0,0.21239747630278083,42.23054874859525,0.0,,,No loops
11,0000,False,False,False,False,365,12,707255.9811611907,37519.64971030664,133682.64754144047,372875.9992003484,0.1890159307270289,38823155.2,223372.8,0.0,0.0,0.0,11648.0,0.21229587235686667,42.200255109264766,0.0,,,No loops
12,0000,False,False,False,False,365,12,717731.593921123,40271.1761341663,134737.0315689203,377741.8780742257,0.18772620950517555,38887815.4,227190.59999999998,0.0,0.0,0.0,11648.0,0.21248581562027033,42.249655678956934,0.0,,,No loops
1,1100,True,True,False,False,365,12,715962.0906314467,39874.36189644985,134620.1351636118,377433.86823639594,0.18802690383352955,38727061.660000004,227058.3,0.0,70528.71601042262,158513.03999999998,11648.0,0.21247437803743877,42.24916068056586,0.0,,,Nutrient + water
2,1100,True,True,False,False,365,12,707090.3417471605,38012.13033371082,133532.04247678036,372451.51246815943,0.18884721596795392,38671304.79,223624.8,0.0,69425.4490483513,156118.40999999997,11648.0,0.21227982306192766,42.19824905276233,0.0,,,Nutrient + water
3,1100,True,True,False,False,365,12,714453.1369036164,39461.89145523454,134383.43033622386,376086.6479956795,0.18809271510603348,38714582.28,226289.69999999998,0.0,70230.30205630582,157975.02,11648.0,0.21242175440097424,42.23375643395595,0.0,,,Nutrient + water
4,1100,True,True,False,False,365,12,684534.9646241119,33763.17485457807,131079.05928955253,361769.84389302833,0.191486287864828,38545568.33,215882.09999999998,0.0,67074.19412748188,150720.56999999998,11648.0,0.21186519237028503,42.08868576878121,0.0,,,Nutrient + water
5,1100,True,True,False,False,365,12,700142.6339523674,36592.11178925145,132963.67267979792,369742.48937797185,0.1899094073577639,38632123.31,221211.9,0.0,68833.36925625097,154433.78999999998,11648.0,0.21217541309279705,42.16898535206508,0.0,,,Nutrient + water
6,1100,True,True,False,False,365,12,711562.322096472,39038.45755400246,134042.6155707933,374964.08170579176,0.18837789945912864,38695342.94,225105.3,0.0,69985.85323123823,157154.75999999998,11648.0,0.21237864721403785,42.22425213066064,0.0,,,Nutrient + water
7,1100,True,True,False,False,365,12,716943.4529279727,40107.16881623493,134876.57336783645,378347.9285715679,0.18812721256746975,38735249.27,227562.3,0.0,70726.84587618776,158861.42999999996,11648.0,0.21250931713423687,42.258449904804834,0.0,,,Nutrient + water
8,1100,True,True,False,False,365,12,714807.2635413096,38742.95109110046,134431.7416321412,376697.5679730244,0.1880671175137999,38717330.88,226459.8,0.0,70363.33851141848,158107.31999999998,11648.0,0.2124452146378492,42.2431018964443,0.0,,,Nutrient + water
9,1100,True,True,False,False,365,12,717616.481304619,39970.64684037443,134772.56693064974,377962.5162030728,0.18780584120035074,38734635.53,227524.49999999997,0.0,70645.17893924213,158834.96999999997,11648.0,0.21249491562538747,42.25497561761662,0.0,,,Nutrient + water
10,1100,True,True,False,False,365,12,712128.6760582818,38619.76068320839,134210.21912160775,375474.28529356833,0.18846343874884736,38707728.85,225867.59999999998,0.0,70092.62773793723,157679.55,11648.0,0.21239747630278083,42.23054874859525,0.0,,,Nutrient + water
11,1100,True,True,False,False,365,12,707255.9811611907,37675.59172030665,133682.64754144047,372875.9992003484,0.1890159307270289,38667213.19,223372.8,0.0,69516.4601202822,155942.00999999998,11648.0,0.21229587235686667,42.200255109264766,0.0,,,Nutrient + water
12,1100,True,True,False,False,365,12,717731.593921123,40429.7817841663,134737.0315689203,377741.8780742257,0.18772620950517555,38729209.75,227190.59999999998,0.0,70593.57535021014,158605.65,11648.0,0.21248581562027033,42.249655678956934,0.0,,,Nutrient + water
1,0010,False,False,True,False,365,12,715962.0906314467,44095.848856449855,120750.13516361179,391303.86823639594,0.16865436975457115,38885574.7,227058.3,68576.75194670257,0.0,0.0,11648.0,0.5124743780374388,61.33620421227674,0.0,,,Energy
2,0010,False,False,True,False,365,12,707090.3417471605,42236.01192371082,119662.04247678038,386321.51246815943,0.16923161781718807,38827423.2,223624.8,67506.30270722235,0.0,0.0,11648.0,0.5122798230619277,61.29949051694687,0.0,,,Energy
3,0010,False,False,True,False,365,12,714453.1369036164,43683.91643523454,120513.43033622384,389956.6479956795,0.16867926545682135,38872557.3,226289.69999999998,68287.30661025949,0.0,0.0,11648.0,0.5124217544009743,61.32493464463343,0.0,,,Energy
4,0010,False,False,True,False,365,12,684534.9646241119,37992.45428457807,117209.05928955252,375639.84389302833,0.17122435718665405,38696288.9,215882.09999999998,65211.02506930837,0.0,0.0,11648.0,0.511865192370285,61.22039573269629,0.0,,,Energy
5,0010,False,False,True,False,365,12,700142.6339523674,40817.67799925146,119093.67267979792,383612.48937797185,0.17009915823509214,38786557.1,221211.9,66924.08444225109,0.0,0.0,11648.0,0.512175413092797,61.27804832188166,0.0,,,Energy
6,0010,False,False,True,False,365,12,711562.322096472,43261.30279400246,120172.61557079332,388834.08170579176,0.16888558013685917,38852497.7,225105.3,68046.02483809332,0.0,0.0,11648.0,0.5123786472140378,61.318801465471125,0.0,,,Energy
7,0010,False,False,True,False,365,12,716943.4529279727,44328.307386234934,121006.57336783643,392217.9285715679,0.168781195886021,38894110.7,227562.3,68773.24024991773,0.0,0.0,11648.0,0.5125093171342369,61.343157958426026,0.0,,,Energy
8,0010,False,False,True,False,365,12,714807.2635413096,42964.84377110046,120561.74163214119,390567.5679730244,0.16866328558953397,38875438.2,226459.8,68418.61624343561,0.0,0.0,11648.0,0.5124452146378492,61.332715691113194,0.0,,,Energy
9,0010,False,False,True,False,365,12,717616.481304619,44191.81187037443,120902.56693064976,391832.5162030728,0.1684779684976719,38893470.5,227524.49999999997,68690.34549931137,0.0,0.0,11648.0,0.5124949156253874,61.340898118060586,0.0,,,Energy
10,0010,False,False,True,False,365,12,712128.6760582818,42842.0811332084,120340.21912160773,389344.28529356833,0.1689866216140956,38865408.4,225867.59999999998,68155.79232713448,0.0,0.0,11648.0,0.5123974763027809,61.323041637383646,0.0,,,Energy
11,0010,False,False,True,False,365,12,707255.9811611907,41899.64971030664,119812.64754144047,386745.9992003484,0.16940492655110395,38823155.2,223372.8,67597.57563786196,0.0,0.0,11648.0,0.5122958723568667,61.30100179062572,0.0,,,Energy
12,0010,False,False,True,False,365,12,717731.593921123,44651.1761341663,120867.0315689203,391611.8780742257,0.16840143668275429,38887815.4,227190.59999999998,68643.0088201557,0.0,0.0,11648.0,0.5124858156202703,61.336644668800375,0.0,,,Energy
1,0001,False,False,False,True,365,12,715962.0906314467,118165.60503216408,134620.1351636118,377433.86823639594,0.18802690383352955,38885574.7,227058.3,0.0,105651.20681246385,0.0,11648.0,0.41247437803743875,54.24916068056586,264547.9924883196,,,Products
2,0001,False,False,False,True,365,12,707090.3417471605,115333.66839480161,133532.04247678036,372451.51246815943,0.18884721596795392,38827423.2,223624.8,0.0,104343.41185093933,0.0,11648.0,0.4122798230619277,54.19824905276233,261269.88127557584,,,Products
3,0001,False,False,False,True,365,12,714453.1369036164,117588.33277860608,134383.43033622386,376086.6479956795,0.18809271510603348,38872557.3,226289.69999999998,0.0,105428.19602687762,0.0,11648.0,0.4124217544009742,54.23375643395595,263990.4340858863,,,Products
4,0001,False,False,False,True,365,12,684534.9646241119,108618.66169585362,131079.05928955253,361769.84389302833,0.191486287864828,38696288.9,215882.09999999998,0.0,101018.40264674094,0.0,11648.0,0.41186519237028507,54.08868576878121,252935.66942860937,,,Products
5,0001,False,False,False,True,365,12,700142.6339523674,113154.05675799727,132963.67267979792,369742.48937797185,0.1899094073577639,38786557.1,221211.9,0.0,103318.25032629067,0.0,11648.0,0.41217541309279704,54.16898535206508,258702.70324539978,,,Products
